Symbol,Date,Open,High,Low,Adj Close,Volume
AAPL,01/03/2016,97.650002,100.769997,97.41999799999999,97.660561,50407100
AAPL,29/02/2016,96.860001,98.230003,96.650002,93.930183,35216300
AAPL,26/02/2016,97.199997,98.019997,96.58000200000001,94.143906,28991100
AAPL,25/02/2016,96.050003,96.760002,95.25,93.998184,27582700
AAPL,24/02/2016,93.980003,96.379997,93.32,93.35701800000001,36255700
AAPL,23/02/2016,96.400002,96.5,94.550003,91.987267,31942600
AAPL,22/02/2016,96.309998,96.900002,95.91999799999999,94.114754,34280800
AAPL,19/02/2016,96.0,96.760002,95.800003,93.298737,35374200
AAPL,18/02/2016,98.839996,98.889999,96.089996,93.51245899999999,39021000
AAPL,17/02/2016,96.66999799999999,98.209999,96.150002,95.31935899999999,44863200
AAPL,16/02/2016,95.019997,96.849998,94.610001,93.88160699999999,49057900
AAPL,12/02/2016,94.190002,94.5,93.010002,91.30725100000001,40351400
AAPL,11/02/2016,93.790001,94.720001,92.589996,91.02552800000001,50074700
AAPL,10/02/2016,95.91999799999999,96.349998,94.099998,91.579254,42343600
AAPL,09/02/2016,94.290001,95.940002,93.93,92.27869399999999,44331200
AAPL,08/02/2016,93.129997,95.699997,93.040001,92.29813399999999,54021400
AAPL,05/02/2016,96.519997,96.91999799999999,93.690002,91.336388,46418100
AAPL,04/02/2016,95.860001,97.33000200000001,95.190002,93.842743,46471700
AAPL,03/02/2016,95.0,96.839996,94.08000200000001,93.094734,45964300
AAPL,02/02/2016,95.41999799999999,96.040001,94.279999,91.28791,37357200
AAPL,01/02/2016,96.470001,96.709999,95.400002,93.172028,40943500
AAPL,29/01/2016,94.790001,97.339996,94.349998,94.05127,64416500
AAPL,28/01/2016,93.790001,94.519997,92.389999,90.911087,55678800
AAPL,27/01/2016,96.040001,96.629997,93.339996,90.263725,133369700
AAPL,26/01/2016,99.93,100.879997,98.07,96.61174,75077000
AAPL,25/01/2016,101.519997,101.529999,99.209999,96.080322,51794500
AAPL,22/01/2016,98.629997,101.459999,98.370003,97.99342299999999,65800500
AAPL,21/01/2016,97.059998,97.879997,94.940002,93.046417,52161500
AAPL,20/01/2016,95.099998,98.190002,93.41999799999999,93.519867,72334400
AAPL,19/01/2016,98.410004,98.650002,95.5,93.394257,53087700
AAPL,15/01/2016,96.199997,97.709999,95.360001,93.848373,79010000
AAPL,14/01/2016,97.959999,100.480003,95.739998,96.157608,63170100
AAPL,13/01/2016,100.32,101.190002,97.300003,94.099594,62439600
AAPL,12/01/2016,100.550003,100.690002,98.839996,96.582756,49154200
AAPL,11/01/2016,98.970001,99.059998,97.339996,95.201073,49739400
AAPL,08/01/2016,98.550003,99.110001,96.760002,93.68412,70798000
AAPL,07/01/2016,98.68,100.129997,96.43,93.191338,81094400
AAPL,06/01/2016,100.559998,102.370003,99.870003,97.29776,68457400
AAPL,05/01/2016,105.75,105.849998,102.410004,99.23984499999999,55791000
AAPL,04/01/2016,102.610001,105.370003,102.0,101.790649,67649400
AAPL,31/12/2015,107.010002,107.029999,104.82,101.70369699999999,40635300
AAPL,30/12/2015,108.58000200000001,108.699997,107.18,103.69410699999999,25213800
AAPL,29/12/2015,106.959999,109.43,106.860001,105.066116,30931200
AAPL,28/12/2015,107.589996,107.690002,106.18,103.210999,26704200
AAPL,24/12/2015,109.0,109.0,107.949997,104.380112,13570400
AAPL,23/12/2015,107.269997,108.849998,107.199997,104.940506,32657400
AAPL,22/12/2015,107.400002,107.720001,106.449997,103.607155,32789400
AAPL,21/12/2015,107.279999,107.370003,105.57,103.703766,47590600
AAPL,18/12/2015,108.910004,109.519997,105.809998,102.44767,96453300
AAPL,17/12/2015,112.019997,112.25,108.980003,105.298019,44772800
AAPL,16/12/2015,111.07,111.989998,108.800003,107.57826999999999,56238500
AAPL,15/12/2015,111.940002,112.800003,110.349998,106.75698899999999,53323100
AAPL,14/12/2015,112.18,112.68,109.790001,108.679771,64318700
AAPL,11/12/2015,115.190002,115.389999,112.849998,109.356125,46886200
AAPL,10/12/2015,116.040001,116.940002,115.510002,112.24508700000001,29104200
AAPL,09/12/2015,117.639999,117.690002,115.08000200000001,111.713676,46361400
AAPL,08/12/2015,117.519997,118.599998,116.860001,114.23548899999999,34309500
AAPL,07/12/2015,118.980003,119.860001,117.809998,114.283798,32084200
AAPL,04/12/2015,115.290001,119.25,115.110001,115.00846100000001,57777000
AAPL,03/12/2015,116.550003,116.790001,114.220001,111.30786100000002,41569500
AAPL,02/12/2015,117.339996,118.110001,116.08000200000001,112.351372,33386600
AAPL,01/12/2015,118.75,118.809998,116.860001,113.375557,34852400
AAPL,30/11/2015,117.989998,119.410004,117.75,114.303123,39180300
AAPL,27/11/2015,118.290001,118.410004,117.599998,113.82968100000001,13046400
AAPL,25/11/2015,119.209999,119.230003,117.91999799999999,114.042252,21388300
AAPL,24/11/2015,117.33000200000001,119.349998,117.120003,114.863525,42803200
AAPL,23/11/2015,119.269997,119.730003,117.339996,113.77170600000001,32482500
AAPL,20/11/2015,119.199997,119.91999799999999,118.849998,115.269348,34287100
AAPL,19/11/2015,117.639999,119.75,116.760002,114.76691399999999,43295800
AAPL,18/11/2015,115.760002,117.489998,115.5,113.327248,46674700
AAPL,17/11/2015,114.91999799999999,115.050003,113.32,109.84888500000001,27616900
AAPL,16/11/2015,111.379997,114.239998,111.0,110.322327,38106700
AAPL,13/11/2015,115.199997,115.57,112.269997,108.54447900000001,45812400
AAPL,12/11/2015,116.260002,116.82,115.650002,111.810295,32525600
AAPL,11/11/2015,116.370003,117.41999799999999,115.209999,112.187119,45218000
AAPL,10/11/2015,116.900002,118.07,116.059998,112.82481399999999,59127900
AAPL,09/11/2015,120.959999,121.809998,120.050003,116.496429,33871400
AAPL,06/11/2015,121.110001,121.809998,120.620003,116.969872,33042300
AAPL,05/11/2015,121.849998,122.690002,120.18,116.834602,39552700
AAPL,04/11/2015,123.129997,123.82,121.620003,117.375694,44886100
AAPL,03/11/2015,120.790001,123.489998,120.699997,117.924095,45519000
AAPL,02/11/2015,120.800003,121.360001,119.610001,116.58676899999999,32203300
AAPL,30/10/2015,120.989998,121.220001,119.449997,114.970459,49365300
AAPL,29/10/2015,118.699997,120.690002,118.269997,115.96141100000001,51227300
AAPL,28/10/2015,116.93,119.300003,116.059998,114.74916100000002,85551400
AAPL,27/10/2015,115.400002,116.540001,113.989998,110.208076,69884400
AAPL,26/10/2015,118.08000200000001,118.129997,114.91999799999999,110.910416,66333800
AAPL,23/10/2015,116.699997,119.230003,116.33000200000001,114.566376,59366900
AAPL,22/10/2015,114.33000200000001,115.5,114.099998,111.122078,41654100
AAPL,21/10/2015,114.0,115.58000200000001,113.699997,109.448021,41795200
AAPL,20/10/2015,111.339996,114.16999799999999,110.82,109.45763400000001,48778800
AAPL,19/10/2015,110.800003,111.75,110.110001,107.494957,29759200
AAPL,16/10/2015,111.779999,112.0,110.529999,106.831116,39232600
AAPL,15/10/2015,110.93,112.099998,110.489998,107.620049,37673500
AAPL,14/10/2015,111.290001,111.519997,109.559998,106.032578,44462400
AAPL,13/10/2015,110.82,112.449997,110.68,107.552696,33049300
AAPL,12/10/2015,112.730003,112.75,111.440002,107.36988799999999,30467200
AAPL,09/10/2015,110.0,112.279999,109.489998,107.87017800000001,52766100
AAPL,08/10/2015,110.190002,110.190002,108.209999,105.34949499999999,61979600
AAPL,07/10/2015,111.739998,111.769997,109.410004,106.580978,46765600
AAPL,06/10/2015,110.629997,111.739998,109.769997,107.09088100000001,48196800
AAPL,05/10/2015,109.879997,111.370003,109.07,106.580978,52064700
AAPL,02/10/2015,108.010002,111.010002,107.550003,106.19613600000001,58019800
AAPL,01/10/2015,109.07,109.620003,107.309998,105.42646,63929100
AAPL,30/09/2015,110.16999799999999,111.540001,108.730003,106.119179,66473000
AAPL,29/09/2015,112.83000200000001,113.510002,107.860001,104.92617800000001,73365400
AAPL,28/09/2015,113.849998,114.57,112.440002,108.17806200000001,52109000
AAPL,25/09/2015,116.440002,116.690002,114.019997,110.36201499999999,56151900
AAPL,24/09/2015,113.25,115.5,112.370003,110.64102199999999,50219500
AAPL,23/09/2015,113.629997,114.720001,113.300003,109.986801,35756700
AAPL,22/09/2015,113.379997,114.18,112.519997,109.101662,50346200
AAPL,21/09/2015,113.66999799999999,115.370003,113.660004,110.843056,50222000
AAPL,18/09/2015,112.209999,114.300003,111.870003,109.149773,74285300
AAPL,17/09/2015,115.660004,116.489998,113.720001,109.601952,64112600
AAPL,16/09/2015,116.25,116.540001,115.440002,111.99758100000001,37173500
AAPL,15/09/2015,115.93,116.529999,114.41999799999999,111.872498,43341200
AAPL,14/09/2015,116.58000200000001,116.889999,114.860001,110.93926200000001,58363400
AAPL,11/09/2015,111.790001,114.209999,111.760002,109.880959,49915500
AAPL,10/09/2015,110.269997,113.279999,109.900002,108.30311599999999,62892800
AAPL,09/09/2015,113.760002,114.019997,109.769997,105.97485400000001,85010800
AAPL,08/09/2015,111.75,112.559998,110.32,108.05297900000001,54843600
AAPL,04/09/2015,108.970001,110.449997,108.510002,105.128212,49996300
AAPL,03/09/2015,112.489998,112.779999,110.040001,106.186516,53233900
AAPL,02/09/2015,110.230003,112.339996,109.129997,108.081833,61888800
AAPL,01/09/2015,110.150002,111.879997,107.360001,103.636963,76845900
AAPL,31/08/2015,112.029999,114.529999,112.0,108.48593100000001,56229300
AAPL,28/08/2015,112.16999799999999,113.309998,111.540001,108.995834,53164400
AAPL,27/08/2015,112.230003,113.239998,110.019997,108.63986200000001,84616100
AAPL,26/08/2015,107.089996,109.889999,105.050003,105.53229499999999,96774600
AAPL,25/08/2015,111.110001,111.110001,103.5,99.807816,103601600
AAPL,24/08/2015,94.870003,108.800003,92.0,99.211334,162206300
AAPL,21/08/2015,110.43,111.900002,105.650002,101.75125899999999,128275500
AAPL,20/08/2015,114.08000200000001,114.349998,111.629997,108.380096,68501600
AAPL,19/08/2015,116.099998,116.519997,114.68,110.65064199999999,47445700
AAPL,18/08/2015,116.43,117.440002,116.010002,112.084152,34560700
AAPL,17/08/2015,116.040001,117.650002,115.5,112.71916200000001,40884700
AAPL,14/08/2015,114.32,116.309998,114.010002,111.56462900000001,42929500
AAPL,13/08/2015,116.040001,116.400002,114.540001,110.785339,48535800
AAPL,12/08/2015,112.529999,115.41999799999999,109.629997,110.871918,101217500
AAPL,11/08/2015,117.809998,118.18,113.33000200000001,109.188248,97082800
AAPL,10/08/2015,116.529999,119.989998,116.529999,115.18211399999998,54951600
AAPL,07/08/2015,114.58000200000001,116.25,114.5,111.141319,38670400
AAPL,06/08/2015,115.970001,116.5,114.120003,110.76608999999999,52903000
AAPL,05/08/2015,112.949997,117.440002,112.099998,110.525574,99312600
AAPL,04/08/2015,117.41999799999999,117.699997,113.25,109.79766799999999,124138600
AAPL,03/08/2015,121.5,122.57,117.519997,113.43715700000001,69976000
AAPL,31/07/2015,122.599998,122.639999,120.910004,116.176353,42885000
AAPL,30/07/2015,122.32,122.57,121.709999,117.20116399999999,33628300
AAPL,29/07/2015,123.150002,123.5,122.269997,117.794968,37011700
AAPL,28/07/2015,123.379997,123.910004,122.550003,118.168503,33618100
AAPL,27/07/2015,123.089996,123.610001,122.120003,117.584259,44455500
AAPL,24/07/2015,125.32,125.739998,123.900002,119.241196,42162300
AAPL,23/07/2015,126.199997,127.089996,125.059998,119.873306,50999500
AAPL,22/07/2015,121.989998,125.5,121.989998,119.930779,115450600
AAPL,21/07/2015,132.850006,132.919998,130.320007,125.22718799999998,76756400
AAPL,20/07/2015,130.970001,132.970001,130.699997,126.49146299999998,58900200
AAPL,17/07/2015,129.080002,129.619995,128.309998,124.14492,46164700
AAPL,16/07/2015,127.739998,128.570007,127.349998,123.081818,36222400
AAPL,15/07/2015,125.720001,127.150002,125.58000200000001,121.463196,33649200
AAPL,14/07/2015,126.040001,126.370003,125.040001,120.304298,31768100
AAPL,13/07/2015,125.029999,125.760002,124.32,120.35219599999999,41440500
AAPL,10/07/2015,121.940002,123.849998,121.209999,118.072723,61354500
